x_value,call,put,acao
0,0.77,0.84,26.72
2021-09-02 15:34:31,0.77,0.84,26.72
2021-09-02 15:34:34,0.77,0.84,26.72
2021-09-02 15:34:37,0.77,0.84,26.71
2021-09-02 15:34:40,0.77,0.84,26.72
2021-09-02 15:34:43,0.77,0.84,26.71
2021-09-02 15:34:46,0.77,0.84,26.72
2021-09-02 15:34:49,0.77,0.84,26.71
2021-09-02 15:34:52,0.77,0.84,26.71
2021-09-02 15:34:55,0.77,0.84,26.71
2021-09-02 15:34:58,0.77,0.84,26.73
2021-09-02 15:35:01,0.77,0.84,26.73
2021-09-02 15:35:04,0.77,0.84,26.72
2021-09-02 15:35:07,0.77,0.84,26.72
2021-09-02 15:35:10,0.77,0.84,26.72
2021-09-02 15:35:13,0.77,0.84,26.72
2021-09-02 15:35:16,0.77,0.84,26.71
2021-09-02 15:35:19,0.77,0.84,26.71
2021-09-02 15:35:22,0.77,0.84,26.71
2021-09-02 15:35:25,0.77,0.84,26.71
2021-09-02 15:35:28,0.77,0.84,26.71
2021-09-02 15:35:31,0.77,0.84,26.71
2021-09-02 15:35:34,0.77,0.84,26.71
2021-09-02 15:35:37,0.77,0.84,26.71
2021-09-02 15:35:40,0.77,0.84,26.72
2021-09-02 15:35:43,0.77,0.84,26.71
2021-09-02 15:35:46,0.77,0.84,26.71
2021-09-02 15:35:49,0.77,0.84,26.72
2021-09-02 15:35:53,0.77,0.84,26.71
2021-09-02 15:35:56,0.77,0.84,26.71
2021-09-02 15:35:59,0.77,0.84,26.71
2021-09-02 15:36:02,0.77,0.84,26.71
2021-09-02 15:36:05,0.77,0.84,26.71
2021-09-02 15:36:08,0.77,0.84,26.71
2021-09-02 15:36:11,0.77,0.84,26.71
2021-09-02 15:36:14,0.77,0.84,26.72
2021-09-02 15:36:17,0.77,0.84,26.71
2021-09-02 15:36:20,0.77,0.84,26.71
2021-09-02 15:36:23,0.77,0.84,26.71
2021-09-02 15:36:26,0.77,0.84,26.71
2021-09-02 15:36:29,0.77,0.84,26.71
2021-09-02 15:36:32,0.77,0.84,26.71
2021-09-02 15:36:35,0.77,0.84,26.71
2021-09-02 15:36:38,0.77,0.84,26.71
2021-09-02 15:36:41,0.77,0.84,26.71
2021-09-02 15:36:44,0.77,0.84,26.71
2021-09-02 15:36:47,0.77,0.84,26.72
2021-09-02 15:36:50,0.77,0.84,26.72
2021-09-02 15:36:53,0.78,0.84,26.73
2021-09-02 15:36:56,0.78,0.84,26.73
2021-09-02 15:36:59,0.78,0.84,26.74
2021-09-02 15:37:02,0.78,0.84,26.74
2021-09-02 15:37:05,0.78,0.84,26.74
2021-09-02 15:37:08,0.78,0.84,26.73
2021-09-02 15:37:11,0.78,0.84,26.73
2021-09-02 15:37:14,0.78,0.84,26.73
2021-09-02 15:37:17,0.78,0.84,26.73
2021-09-02 15:37:20,0.78,0.84,26.74
2021-09-02 15:37:23,0.78,0.84,26.73
2021-09-02 15:37:26,0.78,0.84,26.73
2021-09-02 15:37:29,0.78,0.84,26.73
2021-09-02 15:37:32,0.78,0.84,26.73
2021-09-02 15:37:35,0.78,0.84,26.73
2021-09-02 15:37:38,0.78,0.84,26.74
2021-09-02 15:37:41,0.78,0.84,26.74
2021-09-02 15:37:44,0.78,0.84,26.74
2021-09-02 15:37:47,0.78,0.84,26.73
2021-09-02 15:37:50,0.78,0.84,26.73
2021-09-02 15:37:53,0.78,0.84,26.73
2021-09-02 15:37:56,0.78,0.84,26.73
2021-09-02 15:37:59,0.78,0.84,26.73
2021-09-02 15:38:02,0.78,0.84,26.75
2021-09-02 15:38:05,0.78,0.84,26.74
2021-09-02 15:38:08,0.78,0.84,26.76
2021-09-02 15:38:11,0.78,0.84,26.75
2021-09-02 15:38:14,0.78,0.84,26.75
2021-09-02 15:38:17,0.78,0.84,26.76
2021-09-02 15:38:20,0.78,0.84,26.76
2021-09-02 15:38:23,0.78,0.84,26.75
2021-09-02 15:38:26,0.78,0.82,26.76
2021-09-02 15:38:29,0.78,0.82,26.75
2021-09-02 15:38:32,0.78,0.82,26.75
2021-09-02 15:38:35,0.78,0.82,26.75
2021-09-02 15:38:38,0.78,0.82,26.76
2021-09-02 15:38:41,0.78,0.82,26.75
2021-09-02 15:38:44,0.78,0.82,26.75
2021-09-02 15:38:47,0.78,0.82,26.76
2021-09-02 15:38:50,0.78,0.82,26.76
2021-09-02 15:38:53,0.78,0.82,26.76
2021-09-02 15:38:56,0.78,0.82,26.75
2021-09-02 15:38:59,0.78,0.82,26.76
2021-09-02 15:39:02,0.78,0.82,26.76
2021-09-02 15:39:05,0.79,0.82,26.77
2021-09-02 15:39:08,0.79,0.81,26.77
2021-09-02 15:39:11,0.79,0.81,26.76
2021-09-02 15:39:14,0.8,0.81,26.79
2021-09-02 15:39:17,0.8,0.81,26.79
2021-09-02 15:39:20,0.8,0.81,26.79
2021-09-02 15:39:23,0.8,0.81,26.78
2021-09-02 15:39:26,0.8,0.81,26.79
2021-09-02 15:39:29,0.8,0.81,26.77
2021-09-02 15:39:32,0.8,0.81,26.78
2021-09-02 15:39:35,0.8,0.81,26.77
2021-09-02 15:39:38,0.8,0.81,26.78
2021-09-02 15:39:41,0.8,0.81,26.78
2021-09-02 15:39:44,0.8,0.81,26.78
2021-09-02 15:39:47,0.8,0.81,26.78
2021-09-02 15:39:50,0.78,0.81,26.78
2021-09-02 15:39:53,0.78,0.81,26.77
2021-09-02 15:39:56,0.78,0.81,26.78
2021-09-02 15:39:59,0.78,0.81,26.77
2021-09-02 15:40:02,0.78,0.81,26.77
2021-09-02 15:40:05,0.78,0.81,26.77
2021-09-02 15:40:08,0.78,0.81,26.77
2021-09-02 15:40:11,0.78,0.81,26.78
2021-09-02 15:40:14,0.78,0.81,26.78
2021-09-02 15:40:17,0.8,0.81,26.77
2021-09-02 15:40:20,0.79,0.8,26.79
2021-09-02 15:40:23,0.79,0.8,26.8
2021-09-02 15:40:26,0.8,0.8,26.81
2021-09-02 15:40:29,0.8,0.8,26.8
2021-09-02 15:40:32,0.8,0.8,26.8
2021-09-02 15:40:35,0.8,0.8,26.8
2021-09-02 15:40:38,0.8,0.8,26.8
